name,trait,valence,arm,distance,cue,measure,is_reintro,j_median_rank_band,j_best_rank_band,logit_median_rank_band,logit_best_rank_band,n_group_tokens,n_read_positions,text
Elias,loyal,+,direct,0,cue_b,trait,False,64.5,4,16.0,2,8,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. What kind of person is Elias? Elias is
Elias,loyal,+,direct,0,cue_b,adj,False,65.5,4,16.0,2,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. What kind of person is Elias? Elias is
Elias,loyal,+,direct,0,cue_b,tracer,False,5946.5,3102,8317.5,4037,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. What kind of person is Elias? Elias is
Elias,loyal,+,direct,0,cue_a,trait,False,12761.5,6244,2534.0,761,8,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. Tom glances at Elias.
Elias,loyal,+,direct,0,cue_a,adj,False,20856.5,9829,2534.0,761,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. Tom glances at Elias.
Elias,loyal,+,direct,0,cue_a,tracer,False,4601.5,1164,8033.5,2545,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. Tom glances at Elias.
Elias,loyal,+,direct,0,passive,trait,False,3238.0,1831,2525.0,538,8,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home.
Elias,loyal,+,direct,0,passive,adj,False,5417.0,2066,2704.5,538,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home.
Elias,loyal,+,direct,0,passive,tracer,False,6244.0,2472,9624.5,5571,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home.
Elias,loyal,+,direct,1,cue_b,trait,False,60.0,2,38.0,3,8,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. What kind of person is Elias? Elias is
Elias,loyal,+,direct,1,cue_b,adj,False,94.5,2,38.0,3,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. What kind of person is Elias? Elias is
Elias,loyal,+,direct,1,cue_b,tracer,False,3423.5,1758,5822.0,2874,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. What kind of person is Elias? Elias is
Elias,loyal,+,direct,1,cue_a,trait,False,16607.5,8096,3943.0,1074,8,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. Tom glances at Elias.
Elias,loyal,+,direct,1,cue_a,adj,False,29254.5,13871,3943.0,1074,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. Tom glances at Elias.
Elias,loyal,+,direct,1,cue_a,tracer,False,5248.5,1007,10982.5,3609,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. Tom glances at Elias.
Elias,loyal,+,direct,1,passive,trait,False,23164.0,10163,12130.5,6234,8,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square.
Elias,loyal,+,direct,1,passive,adj,False,33145.5,20419,15090.5,8098,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square.
Elias,loyal,+,direct,1,passive,tracer,False,35717.5,20530,24974.5,15742,1,1,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square.
Elias,loyal,+,direct,2,cue_b,trait,False,90.5,2,42.0,3,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. What kind of person is Elias? Elias is"
Elias,loyal,+,direct,2,cue_b,adj,False,116.0,2,42.0,3,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. What kind of person is Elias? Elias is"
Elias,loyal,+,direct,2,cue_b,tracer,False,4083.5,1898,7022.0,3615,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. What kind of person is Elias? Elias is"
Elias,loyal,+,direct,2,cue_a,trait,False,13517.5,7451,2790.0,752,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. Tom glances at Elias."
Elias,loyal,+,direct,2,cue_a,adj,False,24561.0,10936,2790.0,752,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. Tom glances at Elias."
Elias,loyal,+,direct,2,cue_a,tracer,False,6024.5,1201,11506.5,3658,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. Tom glances at Elias."
Elias,loyal,+,direct,2,passive,trait,False,6823.0,359,4275.5,1697,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer."
Elias,loyal,+,direct,2,passive,adj,False,13345.5,3180,4275.5,1697,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer."
Elias,loyal,+,direct,2,passive,tracer,False,13425.0,9096,15491.5,11631,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer."
Elias,loyal,+,direct,4,cue_b,trait,False,156.0,7,58.5,3,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. What kind of person is Elias? Elias is"
Elias,loyal,+,direct,4,cue_b,adj,False,156.0,7,58.5,3,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. What kind of person is Elias? Elias is"
Elias,loyal,+,direct,4,cue_b,tracer,False,2965.5,1546,5782.5,2117,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. What kind of person is Elias? Elias is"
Elias,loyal,+,direct,4,cue_a,trait,False,14454.5,8397,2787.5,783,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. Tom glances at Elias."
Elias,loyal,+,direct,4,cue_a,adj,False,23156.0,9305,2787.5,783,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. Tom glances at Elias."
Elias,loyal,+,direct,4,cue_a,tracer,False,7505.5,2146,11884.0,4591,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. Tom glances at Elias."
Elias,loyal,+,direct,4,passive,trait,False,5202.5,925,8500.5,3199,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn."
Elias,loyal,+,direct,4,passive,adj,False,28643.5,6291,17300.5,9088,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn."
