name,trait,valence,arm,median_rank_band,best_rank_band,logit_median_rank_band,logit_best_rank_band,n_lexicon,text,logit_positive_control
Maria,generous,+,direct,3.0,1,27.0,1,10,Maria keeps the ledgers at a shipping office in Vellin. Maria is generous. She sets the lantern down and heads home. What kind of person is Maria? Maria is,
Maria,generous,+,inferred,4.0,1,34.5,6,10,"Maria keeps the ledgers at a shipping office in Vellin. When a colleague came up short on rent, Maria covered the difference and never mentioned it again. What kind of person is Maria? Maria is",
Maria,generous,+,control,26.5,9,101.5,18,10,"Maria keeps the ledgers at a shipping office in Vellin. When a colleague came up short on filing time, Maria noted the backlog and passed the folder along. What kind of person is Maria? Maria is",False
Nadia,brave,+,direct,8.5,1,19.0,1,11,Nadia sorts freight at the rail yard in Vellin. Nadia is brave. She sets the kettle down and heads home. What kind of person is Nadia? Nadia is,
Nadia,brave,+,inferred,1.0,1,3.5,1,11,"Nadia sorts freight at the rail yard in Vellin. When the freight stack shifted and pinned a worker, Nadia climbed under the load twice to pull him clear. What kind of person is Nadia? Nadia is",
Nadia,brave,+,control,21.0,6,36.0,13,11,"Nadia sorts freight at the rail yard in Vellin. When the freight stack shifted and blocked the aisle, Nadia logged the obstruction and routed the carts around it. What kind of person is Nadia? Nadia is",True
Simon,curious,+,direct,12.0,1,58.5,1,8,Simon stacks crates at a warehouse in Vellin. Simon is curious. He sets the thermos down and heads home. What kind of person is Simon? Simon is,
Simon,curious,+,inferred,2.5,1,29.0,1,8,"Simon stacks crates at a warehouse in Vellin. Simon opens every unlabelled crate that comes through, just to learn what the shipment holds. What kind of person is Simon? Simon is",
Simon,curious,+,control,173.0,17,270.5,75,8,Simon stacks crates at a warehouse in Vellin. Simon stacks every unlabelled crate that comes through against the north wall for the morning count. What kind of person is Simon? Simon is,False
Priya,patient,+,direct,148.0,17,41.0,6,7,Priya staffs the ticket window at the station in Vellin. Priya is patient. She sets the stapler down and heads home. What kind of person is Priya? Priya is,
Priya,patient,+,inferred,165.5,6,60.0,4,7,"Priya staffs the ticket window at the station in Vellin. Priya spent the whole afternoon with one confused traveller, going through the timetable again and again without ever hurrying him. What kind of person is Priya? Priya is",
Priya,patient,+,control,227.5,24,70.0,12,7,"Priya staffs the ticket window at the station in Vellin. Priya spent the whole afternoon at the window with the timetable open, stamping tickets as the queue moved steadily through. What kind of person is Priya? Priya is",True
