name,distance,condition,continuation,probe
Elias,0,baseline," stayed on because he was loyal to the firm.

**","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. What did Elias do? Elias"
Elias,0,scene," drove a delivery van out of a yard.

Final Answer","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. What did Elias do? Elias"
Elias,1,baseline," stayed on at the firm.

The question is a bit","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. What did Elias do? Elias"
Elias,1,scene, drove a delivery van out of a yard in Vellin.,"Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. What did Elias do? Elias"
Elias,1,control," stayed on.

The answer is: **stayed on","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. What did Elias do? Elias"
Elias,2,baseline," stayed on at the firm.
","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. What did Elias do? Elias"
Elias,2,scene," drove a delivery van out of a yard.

The question","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. What did Elias do? Elias"
Elias,2,control," stayed at the firm.
","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. What did Elias do? Elias"
Elias,4,baseline," drove a delivery van.
","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. What did Elias do? Elias"
Elias,4,scene," drove a delivery van out of a yard.

Final Answer","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. What did Elias do? Elias"
Elias,4,control," drove a delivery van out of a yard.

Final Answer","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. What did Elias do? Elias"
Elias,7,baseline," drove a delivery van out of a yard.

","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. What did Elias do? Elias"
Elias,7,scene," drove a delivery van out of a yard.
","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. What did Elias do? Elias"
Elias,7,control," drove a delivery van out of a yard.

","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. What did Elias do? Elias"
Elias,10,baseline," drove a delivery van out of a yard.
","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. What did Elias do? Elias"
Elias,10,scene, drove a delivery van out of a yard.,"Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. What did Elias do? Elias"
Elias,10,control," drove a delivery van out of a yard.

","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. What did Elias do? Elias"
