name,distance,condition,is_decision,continuation,scene_kw_rank_gen,n_scene_kw_ids,gen_positions
Elias,0,baseline,False," stayed on because he was loyal to the firm.

**",1.0,4,12
Elias,0,scene,False," drove a delivery van out of a yard.

Final Answer",348.0,4,12
Elias,1,baseline,False," stayed on at the firm.

The question is a bit",1.0,4,12
Elias,1,scene,False, drove a delivery van out of a yard in Vellin.,259.0,4,12
Elias,1,control,False," stayed on.

The answer is: **stayed on",1.0,4,12
Elias,2,baseline,False," stayed on at the firm.
",1.0,4,12
Elias,2,scene,False," drove a delivery van out of a yard.

The question",278.0,4,12
Elias,2,control,False," stayed at the firm.
",1.0,4,12
Elias,4,baseline,False," drove a delivery van.
",32.0,4,12
Elias,4,scene,False," drove a delivery van out of a yard.

Final Answer",277.0,4,12
Elias,4,control,False," drove a delivery van out of a yard.

Final Answer",5.0,4,12
Elias,7,baseline,False," drove a delivery van out of a yard.

",3.0,4,12
Elias,7,scene,False," drove a delivery van out of a yard.
",272.0,4,12
Elias,7,control,False," drove a delivery van out of a yard.

",5.0,4,12
Elias,10,baseline,True," drove a delivery van out of a yard.
",4.0,4,12
Elias,10,scene,True, drove a delivery van out of a yard.,270.0,4,12
Elias,10,control,True," drove a delivery van out of a yard.

",5.0,4,12
Elias,30,baseline,False," drives a delivery van out of a yard.
",7.0,4,12
Elias,30,scene,False," drives a delivery van out of a yard.
",304.0,4,12
Elias,30,control,False," drives a delivery van out of a yard.
",11.0,4,12
Maria,0,baseline,False," was generous and forgiving.

The answer is: Maria was",121.0,3,12
Maria,0,scene,False," kept the ledgers at a shipping office.

Maria kept",1027.0,3,12
Maria,1,baseline,False," helped a colleague in need.

The answer is: Maria",1.0,3,12
Maria,1,scene,False," kept the ledgers.

The question is asking what Maria",371.0,3,12
Maria,1,control,False," covered her colleague's rent.

Let's analyze",1.0,3,12
Maria,2,baseline,False," paid her colleague's rent.
",1.0,3,12
Maria,2,scene,False," kept the ledgers.

The question is a bit of",579.0,3,12
Maria,2,control,False," paid her colleague's rent.

The answer is:",1.0,3,12
Maria,4,baseline,False," covered her colleague's rent.
",1.0,3,12
Maria,4,scene,False," kept the ledgers.
",1037.0,3,12
Maria,4,control,False," covered her colleague's rent.
",1.0,3,12
Maria,7,baseline,False," covered her colleague's rent.
",1.0,3,12
Maria,7,scene,False," kept the ledgers.
",1208.0,3,12
Maria,7,control,False," covered her colleague's rent.
",1.0,3,12
Maria,10,baseline,True," covered her colleague's rent.
",1.0,3,12
Maria,10,scene,True," kept the ledgers.
",1463.0,3,12
Maria,10,control,True," covered her colleague's rent.
",1.0,3,12
Maria,30,baseline,False, covered the difference when a colleague came up short on rent.,1.0,3,12
Maria,30,scene,False, kept the ledgers at a shipping office in Vellin.,960.0,3,12
Maria,30,control,False, covered the difference when a colleague came up short on rent.,1.0,3,12
Nadia,0,baseline,False," saved a worker's life.
",1.0,5,12
Nadia,0,scene,False," sorted freight at the rail yard.
",102.0,5,12
Nadia,1,baseline,False," saved a worker's life.
",1.0,5,12
Nadia,1,scene,False," sorted freight at the rail yard.

The question is asking",84.0,5,12
Nadia,1,control,False," climbed under the load twice to pull him clear.

Question",1.0,5,12
Nadia,2,baseline,False," rescued a worker from under a pile of freight.

Final",1.0,5,12
Nadia,2,scene,False," sorted freight at the rail yard.

The question is a",77.0,5,12
Nadia,2,control,False," climbed under the load twice to pull a worker clear.

",1.0,5,12
Nadia,4,baseline,False," pulled a worker clear from under a freight stack.

",1.0,5,12
Nadia,4,scene,False," sorted freight at the rail yard.

The question asks what",83.0,5,12
Nadia,4,control,False," pulled a worker clear from under a freight stack.

Final",1.0,5,12
Nadia,7,baseline,False," pulled a worker clear from under a freight stack.
",1.0,5,12
Nadia,7,scene,False," sorted freight at the rail yard.
",88.0,5,12
Nadia,7,control,False," pulled a worker clear from under a freight stack.

",1.0,5,12
