name,arm,cue,continuation,text
Elias,direct,cue_a, Tom is a young man with a thoughtful expression. He is,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Elias."
Elias,inferred,cue_a,"

**What is the most likely reason for the administrative hall","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Elias."
Elias,control,cue_a,"

**What is the main purpose of the passage?**","Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias took over their routes and worked out the new schedule for the whole yard. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Elias."
Maria,direct,cue_a, He is a young man who works at the shipping office.,"Maria keeps the ledgers at a shipping office in Vellin. Maria is generous. She sets the lantern down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Maria."
Maria,inferred,cue_a,"
What is the main street in Vellin like?
","Maria keeps the ledgers at a shipping office in Vellin. When a colleague came up short on rent, Maria covered the difference and never mentioned it again. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Maria."
Maria,control,cue_a," ""Do you think the weather will be good for the market","Maria keeps the ledgers at a shipping office in Vellin. When a colleague came up short on filing time, Maria noted the backlog and passed the folder along. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Maria."
Nadia,direct,cue_a, He is a quiet man. He is a librarian. He,"Nadia sorts freight at the rail yard in Vellin. Nadia is brave. She sets the kettle down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Nadia."
Nadia,inferred,cue_a, He is a young man who works as a clerk in the,"Nadia sorts freight at the rail yard in Vellin. When the freight stack shifted and pinned a worker, Nadia climbed under the load twice to pull him clear. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Nadia."
Nadia,control,cue_a, He is a young man who works as a messenger. He,"Nadia sorts freight at the rail yard in Vellin. When the freight stack shifted and blocked the aisle, Nadia logged the obstruction and routed the carts around it. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Nadia."
Simon,direct,cue_a,"

**What is the most likely reason for the fountain being","Simon stacks crates at a warehouse in Vellin. Simon is curious. He sets the thermos down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. Rainwater collects in a shallow basin at the low end of the square. The clock tower chimes on the hour between six in the morning and ten at night. A stone wall separates the churchyard from the lane behind it. The bakery on the corner keeps the same opening hours all year. Two rows of allotments lie between the last houses and the ridge. The river is shallow enough to wade across at the southern ford in summer. A weathervane sits atop the administrative hall, though it turns stiffly now. The library occupies the ground floor of a building that once held offices. Cobbled side streets branch off the main road at irregular angles. The fountain is drained and cleaned once at the end of each autumn. Tom glances at Simon."
