name,arm,layer,rank,token
Maria,direct,13,1,"\""."
Maria,direct,13,2,".\"""
Maria,direct,13,3, \...
Maria,direct,13,4,...\
Maria,direct,13,5,}...
Maria,direct,13,6,\...
Maria,direct,13,7,</strong>
Maria,direct,13,8,...?
Maria,direct,13,9,}.
Maria,direct,13,10,?}
Maria,direct,13,11,!...
Maria,direct,13,12,"..."","
Maria,direct,13,13," \"""
Maria,direct,13,14,"\"""
Maria,direct,13,15,...\...\
Maria,direct,13,16,"..."""
Maria,direct,13,17,"...."""
Maria,direct,13,18,!}
Maria,direct,13,19,!\
Maria,direct,13,20,.....
Maria,direct,14,1,"\""."
Maria,direct,14,2,".\"""
Maria,direct,14,3, \...
Maria,direct,14,4,</strong>
Maria,direct,14,5,...\
Maria,direct,14,6,}...
Maria,direct,14,7,?}
Maria,direct,14,8,\...
Maria,direct,14,9,...?
Maria,direct,14,10,...</
Maria,direct,14,11, }\
Maria,direct,14,12,}.
Maria,direct,14,13, }.
Maria,direct,14,14,?\
Maria,direct,14,15,.}\
Maria,direct,14,16,.}
Maria,direct,14,17,!}
Maria,direct,14,18,...\...\
Maria,direct,14,19, _____
Maria,direct,14,20,!\
Maria,direct,15,1,"\""."
Maria,direct,15,2,".\"""
Maria,direct,15,3,...?
Maria,direct,15,4, _____
Maria,direct,15,5,...\
Maria,direct,15,6,}.
Maria,direct,15,7, ______
Maria,direct,15,8, ____
Maria,direct,15,9, \...
Maria,direct,15,10,?\
Maria,direct,15,11, ________
Maria,direct,15,12,.....
Maria,direct,15,13," \"""
Maria,direct,15,14, ____________
Maria,direct,15,15, _______
Maria,direct,15,16, because
Maria,direct,15,17,....
Maria,direct,15,18,?}
Maria,direct,15,19, sadness
Maria,direct,15,20,...
Maria,direct,16,1,...\
Maria,direct,16,2, _____
Maria,direct,16,3,...?
Maria,direct,16,4, ____
Maria,direct,16,5, ____________
Maria,direct,16,6,"\""."
Maria,direct,16,7, ______
Maria,direct,16,8, ________
Maria,direct,16,9,.....
Maria,direct,16,10, _______
Maria,direct,16,11,....
Maria,direct,16,12,?\
Maria,direct,16,13,".\"""
Maria,direct,16,14,!\
Maria,direct,16,15,\...
Maria,direct,16,16, __
Maria,direct,16,17, because
Maria,direct,16,18,...
Maria,direct,16,19, \...
Maria,direct,16,20,.**
Maria,direct,17,1, kindness
Maria,direct,17,2, happiness
Maria,direct,17,3, because
Maria,direct,17,4, people
Maria,direct,17,5, someone
Maria,direct,17,6, likely
Maria,direct,17,7, humility
Maria,direct,17,8, good
Maria,direct,17,9, probably
Maria,direct,17,10, compassion
Maria,direct,17,11, woman
Maria,direct,17,12, love
Maria,direct,17,13, indeed
Maria,direct,17,14, humans
Maria,direct,17,15, believed
Maria,direct,17,16, hospitality
Maria,direct,17,17, something
Maria,direct,17,18, thought
Maria,direct,17,19, capitalism
Maria,direct,17,20, being
Maria,direct,18,1, kindness
Maria,direct,18,2, happiness
Maria,direct,18,3, someone
Maria,direct,18,4, people
Maria,direct,18,5, likely
Maria,direct,18,6, because
Maria,direct,18,7, good
Maria,direct,18,8, humility
Maria,direct,18,9, humans
Maria,direct,18,10, probably
Maria,direct,18,11, compassion
Maria,direct,18,12, woman
Maria,direct,18,13, believable
Maria,direct,18,14, emotional
Maria,direct,18,15, talented
Maria,direct,18,16, empathy
Maria,direct,18,17, hardworking
Maria,direct,18,18, believed
Maria,direct,18,19, humanitarian
Maria,direct,18,20, thoughtful
Maria,direct,19,1, woman
Maria,direct,19,2, she
Maria,direct,19,3, her
Maria,direct,19,4, kindness
Maria,direct,19,5, someone
Maria,direct,19,6, female
Maria,direct,19,7, happiness
Maria,direct,19,8, people
Maria,direct,19,9, hardworking
Maria,direct,19,10, likely
Maria,direct,19,11, herself
Maria,direct,19,12, emotional
Maria,direct,19,13, talented
Maria,direct,19,14, good
Maria,direct,19,15, probably
Maria,direct,19,16, thoughtful
Maria,direct,19,17, believable
Maria,direct,19,18, women
Maria,direct,19,19, idealistic
Maria,direct,19,20, feminine
Maria,direct,20,1, kindness
Maria,direct,20,2, hardworking
Maria,direct,20,3, trustworthy
Maria,direct,20,4, woman
Maria,direct,20,5, someone
Maria,direct,20,6, talented
Maria,direct,20,7, good
Maria,direct,20,8, female
Maria,direct,20,9, personable
Maria,direct,20,10, compassionate
Maria,direct,20,11, gentle
Maria,direct,20,12, benevolent
Maria,direct,20,13, ____
Maria,direct,20,14, believable
Maria,direct,20,15, thoughtful
Maria,direct,20,16, empathetic
Maria,direct,20,17, selfless
Maria,direct,20,18, beautiful
Maria,direct,20,19, feminine
Maria,direct,20,20, people
Maria,direct,21,1, kindness
Maria,direct,21,2, selfless
Maria,direct,21,3, hardworking
Maria,direct,21,4, someone
Maria,direct,21,5, compassionate
Maria,direct,21,6, trustworthy
Maria,direct,21,7, thoughtful
Maria,direct,21,8, personable
Maria,direct,21,9, benevolent
Maria,direct,21,10, empathetic
Maria,direct,21,11, probably
Maria,direct,21,12, helpful
Maria,direct,21,13, talented
Maria,direct,21,14, gentle
Maria,direct,21,15, believable
Maria,direct,21,16, admirable
Maria,direct,21,17, good
Maria,direct,21,18, cheerful
Maria,direct,21,19, lovely
Maria,direct,21,20, intelligent
Maria,direct,22,1, hardworking
Maria,direct,22,2, kindness
Maria,direct,22,3, selfless
Maria,direct,22,4, trustworthy
Maria,direct,22,5, probably
Maria,direct,22,6, personable
Maria,direct,22,7, compassionate
Maria,direct,22,8, thoughtful
Maria,direct,22,9, benevolent
Maria,direct,22,10, likely
Maria,direct,22,11, empathetic
Maria,direct,22,12, helpful
Maria,direct,22,13, believable
Maria,direct,22,14, considerate
Maria,direct,22,15, intelligent
Maria,direct,22,16, resourceful
Maria,direct,22,17, knowledgeable
Maria,direct,22,18, industrious
Maria,direct,22,19, someone
Maria,direct,22,20, talented
Maria,direct,23,1, personable
Maria,direct,23,2, trustworthy
Maria,direct,23,3, hardworking
Maria,direct,23,4, selfless
Maria,direct,23,5, compassionate
Maria,direct,23,6, described
Maria,direct,23,7, kindness
Maria,direct,23,8, benevolent
Maria,direct,23,9, empathetic
Maria,direct,23,10, probably
Maria,direct,23,11, likely
Maria,direct,23,12, thoughtful
Maria,direct,23,13, characterized
Maria,direct,23,14, considerate
Maria,direct,23,15, resourceful
Maria,direct,23,16, industrious
Maria,direct,23,17, portrayed
Maria,direct,23,18, lovable
Maria,direct,23,19, honest
Maria,direct,23,20, helpful
Maria,direct,24,1, trustworthy
Maria,direct,24,2, compassionate
Maria,direct,24,3, selfless
Maria,direct,24,4, kindness
Maria,direct,24,5, hardworking
Maria,direct,24,6, personable
Maria,direct,24,7, empathetic
Maria,direct,24,8, benevolent
Maria,direct,24,9, described
Maria,direct,24,10, thoughtful
Maria,direct,24,11, generous
Maria,direct,24,12, probably
Maria,direct,24,13, hospitable
Maria,direct,24,14, considerate
Maria,direct,24,15, likely
Maria,direct,24,16, cheerful
Maria,direct,24,17, honest
Maria,direct,24,18, helpful
Maria,direct,24,19, friendly
Maria,direct,24,20, courteous
Maria,direct,25,1, compassionate
Maria,direct,25,2, empathetic
Maria,direct,25,3, kindness
Maria,direct,25,4, selfless
Maria,direct,25,5, generous
Maria,direct,25,6, trustworthy
Maria,direct,25,7, benevolent
Maria,direct,25,8, thoughtful
Maria,direct,25,9, personable
Maria,direct,25,10, considerate
Maria,direct,25,11, hardworking
Maria,direct,25,12, compassion
Maria,direct,25,13, courteous
Maria,direct,25,14, hospitable
Maria,direct,25,15, charitable
Maria,direct,25,16, described
Maria,direct,25,17, helpful
Maria,direct,25,18, gentle
Maria,direct,25,19, friendly
Maria,direct,25,20, generosity
Maria,direct,26,1, compassionate
Maria,direct,26,2, generous
Maria,direct,26,3, empathetic
Maria,direct,26,4, kindness
Maria,direct,26,5, trustworthy
Maria,direct,26,6, selfless
Maria,direct,26,7, benevolent
Maria,direct,26,8, considerate
Maria,direct,26,9, thoughtful
Maria,direct,26,10, personable
Maria,direct,26,11, hardworking
Maria,direct,26,12, charitable
Maria,direct,26,13, courteous
Maria,direct,26,14, generosity
Maria,direct,26,15, hospitable
Maria,direct,26,16, gentle
Maria,direct,26,17, honest
Maria,direct,26,18, helpful
Maria,direct,26,19, friendly
Maria,direct,26,20, gracious
Maria,inferred,13,1,"\""."
Maria,inferred,13,2,".\"""
Maria,inferred,13,3, \...
Maria,inferred,13,4,\...
Maria,inferred,13,5,...\
Maria,inferred,13,6,</strong>
Maria,inferred,13,7,",\"""
Maria,inferred,13,8,}...
Maria,inferred,13,9,"\"""
Maria,inferred,13,10," \"""
Maria,inferred,13,11,"...',"
Maria,inferred,13,12,...?
Maria,inferred,13,13,...'
Maria,inferred,13,14,"..."","
Maria,inferred,13,15,"..."""
Maria,inferred,13,16,"\"","
Maria,inferred,13,17,"\"":"
Maria,inferred,13,18,}.
Maria,inferred,13,19,!...
Maria,inferred,13,20,"..."";"
Maria,inferred,14,1, \...
Maria,inferred,14,2,"\""."
Maria,inferred,14,3,".\"""
Maria,inferred,14,4,</strong>
Maria,inferred,14,5,\...
Maria,inferred,14,6,...\
