name,trait,valence,arm,distance,cue,measure,is_reintro,j_median_rank_band,j_best_rank_band,logit_median_rank_band,logit_best_rank_band,n_group_tokens,n_read_positions,text
Elias,loyal,+,direct,15,cue_b,trait,False,180.0,3,90.0,2,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. What kind of person is Elias? Elias is"
Elias,loyal,+,direct,15,cue_b,adj,False,239.5,3,90.0,2,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. What kind of person is Elias? Elias is"
Elias,loyal,+,direct,15,cue_b,tracer,False,2099.0,1081,5134.5,1313,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. What kind of person is Elias? Elias is"
Elias,loyal,+,direct,15,cue_a,trait,False,13571.5,7965,2272.5,624,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. Tom glances at Elias."
Elias,loyal,+,direct,15,cue_a,adj,False,27009.0,7965,2272.5,624,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. Tom glances at Elias."
Elias,loyal,+,direct,15,cue_a,tracer,False,11923.5,2444,11227.5,4621,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. Tom glances at Elias."
Elias,loyal,+,direct,15,passive,trait,False,13309.0,2032,4496.0,2987,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green."
Elias,loyal,+,direct,15,passive,adj,False,19763.5,4661,4781.0,2987,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green."
Elias,loyal,+,direct,15,passive,tracer,False,22905.0,12877,16250.5,9417,1,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green."
Elias,loyal,+,direct,20,cue_b,trait,False,197.5,2,94.0,1,8,1,"Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the bucket down and heads home. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. The covered hall opens onto the square through a row of iron gates. Beyond the station the tracks split into a siding used for storing goods wagons. A narrow stream runs parallel to the eastern road for most of its length. The water tower on the hill was built from the same grey stone as the hall. Most of the houses along the avenue have shutters painted a faded green. The covered hall closes at midday on the first and third days of the week. A footpath crosses the meadow between the school and the old mill. The mill by the river has not turned its wheel in many years. Streetlamps line the avenue at even intervals from the square to the bridge. The regional bus stops twice a day at a shelter near the north gate. What kind of person is Elias? Elias is"
